id,organization,name,url,opens,deadline,amount,other_benefits,eligibility,area,flags,notes
american-educational-research-association-aera-aeransf-dissertation-grants,American Educational Research Association (AERA),AERA–NSF Dissertation Grants,https://www.aera.net/Professional-Opportunities-Funding/AERA-Funding-Opportunities/AERA-NSF-Grants-Program/Dissertation-Grants,"Mar 1, 2026","May 20, 2026",Funded — verify amount on website,NSF-funded grants supporting doctoral dissertations using rigorous quantitative education-research methods.,Quantitative methods required,Education Research,,"Up to ~$27,500; quantitative methods required. Imported from personal research tracker; verify all details before applying."
association-for-public-policy-analysis-and-management-appam,Association for Public Policy Analysis and Management (APPAM),Equity & Inclusion Student Fellowship,https://www.appam.org/about-appam/awards/eeifellowship/,"Mar 1, 2026","May 12, 2026",Funded — verify amount on website,Pre-conference seminar supporting diverse graduate students entering public-policy research and practice.,Broad eligibility,Public Policy and Government,,Broad eligibility (substantial obstacles). Imported from personal research tracker; verify all details before applying.
berkman-klein-center-for-internet-society-berkman-klein,Berkman Klein Center for Internet & Society,Berkman Klein Affiliate Fellowship,https://cyber.harvard.edu/page/open-call-fellowship-applications-2026-and-2026-2027,"Sep 1, 2026","Dec 5, 2026",Funded — verify amount on website,"Year-long affiliate appointment for scholars and practitioners researching internet, technology, and society. Time commitment: 12.",Open to scholars and practitioners,AI and Tech Policy,,"Year-long affiliate appointment; open to scholars, practitioners, policy professionals; multiple cohorts. Imported from personal research tracker; verify all details before applying."
center-for-ai-safety-cais-ai-and-society,Center for AI Safety (CAIS),AI and Society Fellowship,https://safe.ai/fellowship,Verify,"Mar 24, 2026",Funded — verify amount on website,Three-month in-person fellowship for scholars studying the societal and policy impacts of advanced AI. Time commitment: 3.,Econ/law/IR/poli-phil scholars; in-person SF,AI and Tech Policy,,"PASSED 2026 (deadline Mar 24). $25K, 3-mo IN-PERSON San Francisco (Jun 1-Aug 21). Econ/law/IR/poli-phil scholars. Reapply ~Mar 1. Imported from personal research tracker; verify all details before applying."
coding-it-forward-coding-it-forward-summer-fellowship,Coding it Forward,Coding it Forward Summer Fellowship,https://codingitforward.com/fellowship,Verify,Verify,Funded — verify amount on website,Paid ten-week summer fellowship placing early-career technologists in US government offices. Time commitment: 3.,US citizen/national/PR only,AI and Tech Policy,"Open to undergraduate students, as well as graduate students/professionals, per source.",Imported from personal research tracker; verify all details before applying.
international-society-for-third-sector-research-istr-phd,International Society for Third-Sector Research (ISTR),PhD Seminar (next 2028 cycle),https://www.istr.org/page/PhDSeminar,"Feb 1, 2026","Oct 1, 2027",Funded — verify amount on website,Biennial seminar convening doctoral students in third-sector and nonprofit research internationally.,Biennial; international option,Nonprofit Governance,,Biennial; international option. Imported from personal research tracker; verify all details before applying.
rand-corporation-graduate-student-summer-associate-program,RAND Corporation,Graduate Student Summer Associate Program,https://www.rand.org/jobs/summer-associates.html,"Oct 15, 2026","Dec 1, 2026",Funded — verify amount on website,Summer associate program giving graduate students hands-on RAND public-policy research experience.,Graduate students; US-based,Public Policy and Government,,Imported from personal research tracker; verify all details before applying.
faith-and-politics-institute-john-robert-lewis-scholars,Faith and Politics Institute,John Robert Lewis Scholars & Fellows Program,https://faithandpolitics.org/apply-for-fellowship/,"Sep 7, 2026",Verify,Funded — verify amount on website,"Leadership fellowship developing emerging civic leaders through trips, education, and an oral-history project. Time commitment: 12.",US citizen/PR; 18+; current or recent (<24mo) student; full participation required,Public Policy and Government,"Open to undergraduate students, as well as graduate students/professionals, per source.","The John Robert Lewis Scholars & Fellows Program. Applications for Cohort 7 open September 2026. Program runs July 2026–July 2027 with a $2,000 stipend. Eligibility: US citizen or permanent resident; 18+; current undergraduate/graduate/seminary student or within 24 months of graduating; exceptional leadership potential; must participate in all trips, educational requirements, and the oral-history project. https://faithandpolitics.org/apply-for-fellowship/. Imported from personal research tracker; verify all details before applying."
internet-society-foundation-research-grant-program,Internet Society Foundation,Research Grant Program,https://www.isocfoundation.org/grant-programme/research-grant-programme/,"Apr 7, 2027","May 22, 2027",Funded — verify amount on website,"Grants funding applied, openly-published research on Internet governance, access, trust, and the societal impacts of emerging technologies including AI. Time commitment: 12.",Individuals & institutions worldwide; applied/open research,AI and Tech Policy,,$200K-$500K per project; open globally to individuals and institutions; applied + openly-published research informing policy. 2026 window closed (Apr 7-May 22); watch for 2027 cycle ~April. Submit via Fluxx (register 24h early). https://www.isocfoundation.org/grant-programme/research-grant-programme/. Imported from personal research tracker; verify all details before applying.
american-bar-foundation-abf-doctoral-fellowship-in-law,American Bar Foundation (ABF),Doctoral Fellowship in Law and Social Science,https://www.americanbarfoundation.org/program/the-abf-uchicago-doctoral-fellowship-program/,"Sep 1, 2026",Early 2027 (~Mar),Funded — verify amount on website,Year-long residential fellowship funding sociolegal research at the intersection of law and social science. Time commitment: 12.,Doctoral candidates; law/social science,Nonprofit Governance,"$30,000 + benefits. Year-long sociolegal research fellowship; has supported AI/tech policy work; strong methodological credential. Uchicago Only.",Imported from personal research tracker; verify all details before applying.
association-for-research-on-nonprofit-organizations-and-voluntary,Association for Research on Nonprofit Organizations and Voluntary Action (ARNOVA),Graduate Diversity Scholars,https://web.cvent.com/event/9fe4ba38-a517-4fce-98f1-1cc08aa467ee/websitePage:02c54346-ecd0-42c8-a1f7-a7450ffca843?RefId=Home,Annual,Annual,Funded — verify amount on website,Scholarship supporting diverse doctoral students attending ARNOVA's nonprofit-research conference.,Diversity-focused; 8 participants,Nonprofit Governance,,Diversity-focused (specific named groups); 8 participants. Imported from personal research tracker; verify all details before applying.
horizon-institute-for-public-service-horizon-fellowship-for,Horizon Institute for Public Service,Horizon Fellowship for Emerging Technology Policy,https://horizonpublicservice.org/programs/become-a-fellow/,July 2026,"Sep 2, 2026",Funded — verify amount on website,Two-year DC placement developing emerging leaders in technology and public policy. Time commitment: 24.,2-year DC placement,AI and Tech Policy,"Open to undergraduate students, as well as graduate students/professionals, per source.",2-year DC placement; $75K junior / $113K full fellow. Look to apply for 2027 cycle. Imported from personal research tracker; verify all details before applying.
russell-sage-foundation-rsf-dissertation-research-grants-drg,Russell Sage Foundation (RSF),Dissertation Research Grants (DRG),https://www.russellsage.org/,Verify,"Feb 1, 2027",Funded — verify amount on website,Grant funding doctoral dissertation research on social and economic inequality.,Inequality framing,Public Policy and Government,,Inequality framing did not match dissertation direction at decision point. Imported from personal research tracker; verify all details before applying.
social-science-research-council-ssrc-just-tech-fellowship,Social Science Research Council (SSRC),Just Tech Fellowship,https://www.ssrc.org/programs/just-tech/just-tech-fellowship/,Annual,Annual,Funded — verify amount on website,Fellowship supporting researchers addressing social justice and technology challenges.,Tech & social justice framing,Data Analysis,,Fits TF-IDF/Tableau work; tech & social justice framing. Look to apply for 2027 cycle. Imported from personal research tracker; verify all details before applying.
google-public-policy-fellowship-public-policy-fellowship,Google (Public Policy Fellowship),Public Policy Fellowship,https://www.google.com/policyfellowship/,Verify,Verify,Funded — verify amount on website,Fellowship placing emerging leaders in public policy work on technology and society issues. Time commitment: 3.,Doctoral-eligible; all disciplines; summer DC placement; $12K full-time / $6K part-time,AI and Tech Policy,"Open to undergraduate students, as well as graduate students/professionals, per source.",Summer fellowship placing students at DC tech-policy orgs; AI governance/privacy/internet policy; ties to AI-in-legislative/TF-IDF work. 2026 deadline ~Apr (passed); watch 2027. Source: google.com/policyfellowship. Imported from personal research tracker; verify all details before applying.
california-council-on-science-technology-ccst-ccst-science,California Council on Science & Technology (CCST),CCST Science & Technology Policy Fellowship,https://ccst.us/ccst-science-fellows-program/,"Dec 1, 2026",Annual,Funded — verify amount on website,One-year placement embedding PhD scientists and engineers in California state policymaking. Time commitment: 12.,PhD (or MS in engineering + 3 yrs exp); 1-yr CA Legislature placement; $45K + benefits,Public Policy and Government,,Bridges data/research and legislative decision-making; parallels Texas Senate analyst + TF-IDF work. Source: CCST via Caltech FASA. Imported from personal research tracker; verify all details before applying.
techcongress-congressional-innovation-fellowship,TechCongress,Congressional Innovation Fellowship,https://techcongress.io/congressional-innovation-fellowship,Summer 2027,Verify,Funded — verify amount on website,Fellowship placing technologists in Congressional offices to advise on technology policy.,Targets technologists; CS competitive,AI and Tech Policy,,Targets technologists; CS PhD competitive. Imported from personal research tracker; verify all details before applying.
mila-quebec-ai-institute-mila-ai-policy-fellowship,Mila – Quebec AI Institute,Mila AI Policy Fellowship,https://mila.quebec/en/ai4humanity/ai-governance-policy-and-inclusion/mila-ai-policy-fellowship,Annual,Annual,Funded — verify amount on website,Fellowship supporting policy research on artificial intelligence at a leading AI institute.,AI policy focus,AI and Tech Policy,,Imported from personal research tracker; verify all details before applying.
center-for-democracy-technology-cdt-cdt-non-resident,Center for Democracy & Technology (CDT),CDT Non-Resident Fellows Program,https://cdt.org/about/fellows/,Annual,Fall 2026,Funded — verify amount on website,Non-resident fellowship supporting independent research on digital rights and technology policy.,Post-doc opportunity,AI and Tech Policy,,"Post doc opportunity, pass. Imported from personal research tracker; verify all details before applying."
american-association-of-university-women-aauw-american-fellowships,American Association of University Women (AAUW),American Fellowships (Dissertation),https://www.aauw.org/resources/programs/fellowships-grants/current-opportunities/american/,"Aug 17, 2026","Sep 30, 2026",Funded — verify amount on website,Supports women completing doctoral dissertations across disciplines with a one-year funding award.,Women applicants only,Education Research,,Women applicants only; not eligible. Imported from personal research tracker; verify all details before applying.
association-for-the-study-of-higher-education-ashe,Association for the Study of Higher Education (ASHE),Graduate Student Policy Seminar,https://www.ashe.ws/cpphe,Verify,Verify,Funded — verify amount on website,Seminar introducing graduate students to higher-education policy research and engagement.,Higher-ed policy focus,Education Research,,Higher-ed policy focus did not align with AI/legislative priority direction. Imported from personal research tracker; verify all details before applying.
association-for-the-study-of-higher-education-ashe-2,Association for the Study of Higher Education (ASHE),CEP Mentor-Protégé Program,https://www.ashe.ws/cep,Verify,"Sep 30, 2026",Funded — verify amount on website,Mentorship program pairing scholars of color with senior mentors in higher-education research.,Scholars of color; narrow eligibility,Education Research,,Imported from personal research tracker; verify all details before applying.
brookings-institution-nonresident-fellow-appointments,Brookings Institution,Nonresident Fellow Appointments,https://www.brookings.edu/about-us/careers/,Rolling,Rolling,Unfunded / non-monetary,Unpaid nonresident appointment for established researchers affiliating with Brookings' technology program.,Non-doctoral interns only,AI and Tech Policy,"Only internships, and only for non doctoral students.",Imported from personal research tracker; verify all details before applying.
kettering-foundation-research-fellows-program,Kettering Foundation,Research Fellows Program,https://kettering.org/,Verify,Verify,Funded — verify amount on website,Nomination-only fellowship convening senior scholars on democracy and public-policy research.,Nomination/invitation only,Nonprofit Governance,Nomination or invitation required — not an open application.,Senior scholars by nomination only; not open application. Imported from personal research tracker; verify all details before applying.
metagov-public-ai-fellow-canada,Metagov,Public AI Fellow (Canada),https://metagov.org/join/jobs/public-ai-fellow-canada,Rolling,Rolling,Funded — verify amount on website,"Fellowship supporting work on public AI infrastructure and governance, focused on Canada.",Canada-focused; verify eligibility,AI and Tech Policy,"Open to undergraduate students, as well as graduate students/professionals, per source.",Canada-focused; verify non-Canadian eligibility. Imported from personal research tracker; verify all details before applying.
secure-program-synthesis-fellowship-secure-program-synthesis-fellowship,Secure Program Synthesis Fellowship,Secure Program Synthesis Fellowship,https://tally.so/r/44PVxB,Verify,Verify,Unfunded / non-monetary,Technical fellowship focused on formal methods and secure program synthesis research.,Highly technical (formal methods/PL),AI and Tech Policy,,Highly technical (formal methods/PL); fit caveat. Imported from personal research tracker; verify all details before applying.
stanford-institute-for-human-centered-ai-hai-hai,Stanford Institute for Human-Centered AI (HAI),HAI Policy Fellowship,https://hai.stanford.edu/policy/student-opportunities/tech-ethics-policy-fellowships,Fall 2026,"Nov 14, 2026",Unfunded / non-monetary,Policy fellowship open only to Stanford students working on human-centered AI.,Stanford students only,AI and Tech Policy,,Eligibility unclear — verify on website. Only for stanford students. Imported from personal research tracker; verify all details before applying.
stanford-knight-hennessy-scholars-knight-hennessy-scholars,Stanford Knight-Hennessy Scholars,Knight-Hennessy Scholars,https://knight-hennessy.stanford.edu/,Rolling,"Oct 6, 2026",Funded — verify amount on website,Fully funded graduate scholarship supporting leadership development across Stanford's schools. Time commitment: 24.,Stanford graduate students only,AI and Tech Policy,Stanford graduate students only; verify whether visiting or transfer status enables eligibility. Fully funded for up to three years.,Imported from personal research tracker; verify all details before applying.
united-nations-university-institute-on-comparative-regional-integration,United Nations University Institute on Comparative Regional Integration Studies (UNU-CRIS),Visiting Fellow Programme,https://cris.unu.edu/visiting-fellows,Rolling,Rolling,Unfunded / non-monetary,Visiting fellowship supporting research on global governance and AI regulation in Europe.,Unstipended; international doctoral,AI and Tech Policy,,Unstipended (verify). Brussels-based; global governance; AI Act implementation work; international doctoral eligible. Imported from personal research tracker; verify all details before applying.
vanderbilt-policy-accelerator-vpa-vpa-senior-fellows-affiliated,Vanderbilt Policy Accelerator (VPA),VPA Senior Fellows / Affiliated Scholarship,https://www.vanderbilt.edu/vanderbilt-policy-accelerator/people/,Verify,Verify,Funded — verify amount on website,Invitation-only affiliation for senior scholars at Vanderbilt's policy accelerator.,Invitation/relationship only,AI and Tech Policy,Nomination or invitation required — not an open application.,Not an open application; relationship-only. Imported from personal research tracker; verify all details before applying.
vanderbilt-university-initiative-on-the-future-of-learning,Vanderbilt University,Initiative on the Future of Learning & Generative AI,https://www.vanderbilt.edu/generative-ai/future-learning-initiative/,Verify,Verify,Funding status unclear — verify on website,Internal Vanderbilt initiative on generative AI and the future of learning; not an open fellowship.,Internal Vanderbilt program; not a fellowship,AI and Tech Policy,Nomination or invitation required — not an open application.,Not a fellowship; internal Vanderbilt program. Imported from personal research tracker; verify all details before applying.
vanderbilt-university-grand-challenge-initiative-artificial-intelligence,Vanderbilt University,Grand Challenge Initiative: Artificial Intelligence,https://as.vanderbilt.edu/gci-ai/,Verify,Verify,Unfunded / non-monetary,Internal Vanderbilt grand-challenge initiative on artificial intelligence; not an open fellowship.,Internal Vanderbilt program; not a fellowship,AI and Tech Policy,Nomination or invitation required — not an open application.,Not a fellowship; internal Vanderbilt program. Imported from personal research tracker; verify all details before applying.
iu-lilly-family-school-of-philanthropy-lilly-family,IU Lilly Family School of Philanthropy,Lilly Family School Research Fund,https://philanthropy.indianapolis.iu.edu/admissions/financial-aid-scholarships/dissertation-fellowship/index.html,Annual,"Nov 15, 2026",Funded — verify amount on website,"Funding supporting doctoral dissertation research on philanthropy, nonprofits, and the social sector.",Doctoral thesis/dissertation research in philanthropy/nonprofit; up to $2K/yr,Nonprofit Governance,Matches nonprofit-governance + org-theory lane; IU students only.,Imported from personal research tracker; verify all details before applying.
open-technology-fund-otf-information-controls-fellowship,Open Technology Fund (OTF),Information Controls Fellowship,https://www.opentech.fund/,Annual,Annual,Funded — verify amount on website,Fellowship supporting research and development addressing internet censorship and information controls. Time commitment: 12.,Researchers on internet freedom / information controls; hosted at academic or civil-society orgs,AI and Tech Policy,"Open to undergraduate students, as well as graduate students/professionals, per source.","Supports research on censorship, surveillance, governance of digital/AI systems; verify program is currently funded/operating and open-application. Source: opentech.fund. Imported from personal research tracker; verify all details before applying."
govern-for-america-gfa-govern-for-america-fellowship,Govern For America (GFA),Govern For America Fellowship,https://www.govforamerica.org/fellowship-program,"Nov 1, 2026","Dec 8, 2026",Funded — verify amount on website,"Two-year program placing emerging leaders in full-time, paid state and local government roles. Time commitment: 24.",US work authorization; 2-yr commitment,Public Policy and Government,"Open to undergraduate students, as well as graduate students/professionals, per source.",Imported from personal research tracker; verify all details before applying.
new-america-public-interest-technology-fellowship,New America,Public Interest Technology Fellowship,https://www.newamerica.org/fellowships/new-america-fellows/,Annual,2027-02,Funded — verify amount on website,Fellowship supporting public-interest technologists working on technology policy from a DC think tank.,Flexible eligibility for policy researchers,AI and Tech Policy,,DC think tank; public-interest tech focus; flexible eligibility for policy researchers. Imported from personal research tracker; verify all details before applying.
aspen-institute-aspen-tech-policy-hub-fellowship,Aspen Institute,Aspen Tech Policy Hub Fellowship,https://aspenpolicyacademy.org/program/science-and-technology-policy-fellowship/,"Dec 18, 2026","Feb 5, 2027",Funded — verify amount on website,Project-driven fellowship training technologists to develop actionable technology policy at UC Berkeley.,Accepts policy backgrounds,AI and Tech Policy,,Berkeley-based cohort; project-driven tech policy training; accepts policy backgrounds. Imported from personal research tracker; verify all details before applying.
gradel-institute-for-charity-oxford-penn-social-impact,Gradel Institute for Charity,Oxford Penn Social Impact Doctoral Fellowship Program,https://www.gradelinstituteofcharity.co.uk/doctoral-fellows,Verify,Verify,Funded — verify amount on website,Doctoral fellowship supporting social-impact and charity-sector research at Oxford.,Doctoral; Oxford-based,Nonprofit Governance,,Imported from personal research tracker; verify all details before applying.
jams-foundation-association-for-conflict-resolution-acr-jams,JAMS Foundation / Association for Conflict Resolution (ACR),JAMS Fellowship Program,https://www.jamsadr.com/jams-fellowship-program,Verify,Verify,Funded — verify amount on website,Grant program funding conflict-resolution research and practice through nonprofit partners.,Requires nonprofit partner,Open Field,,Organizational grant; requires nonprofit partner. Imported from personal research tracker; verify all details before applying.
paragon-fellowship-paragon-policy-fellowship,Paragon Fellowship,Paragon Policy Fellowship,https://www.paragonfellowship.org/,Fall 2026,Verify,Unfunded / non-monetary,Remote part-time fellowship pairing students with state and local governments on tech-policy projects.,Unpaid; remote; 8-10 hrs/week,Public Policy and Government,"Open to undergraduate students, as well as graduate students/professionals, per source.",Imported from personal research tracker; verify all details before applying.
horowitz-foundation-for-social-policy-dissertation-research-grant,Horowitz Foundation for Social Policy,Dissertation Research Grant,https://www.horowitz-foundation.org/,Annual,"Dec 1, 2026",Funded — verify amount on website,Grant supporting doctoral dissertation research in social policy.,Dissertation proposal stage prerequisite,Public Policy and Government,,Dissertation proposal stage prerequisite; defer to future cycle. Imported from personal research tracker; verify all details before applying.
anthropic-anthropic-institute-fellows,Anthropic,Anthropic Institute Fellows,https://job-boards.greenhouse.io/anthropic/jobs/5023394008,Rolling,Rolling,Funded — verify amount on website,"Four-month full-time empirical AI research fellowship; Economics workstream applies economics/social-science methods to AI's societal impact, with Anthropic researcher mentorship. Time commitment: 4.",Technical: Python fluency required; CS/math/physics background,AI and Tech Policy,"Open to undergraduate students, as well as graduate students/professionals, per source.","Technical fit caveat; $3,850/wk + $15K/mo compute; US/UK/CA only. Imported from personal research tracker; verify all details before applying."
american-society-for-public-administration-aspa-founders-fellows,American Society for Public Administration (ASPA),Founders' Fellows Program,https://aspanet.secure-platform.com/a/page/FF-2026,"Sep 1, 2026","Nov 17, 2026",Funded — verify amount on website,Pre-dissertation fellowship supporting early-stage public-administration scholars; requires ASPA membership.,ASPA membership required,Public Policy and Government,,Strongest pre-dissertation fit; ASPA membership required. Imported from personal research tracker; verify all details before applying.
center-for-advanced-study-in-the-behavioral-sciences,"Center for Advanced Study in the Behavioral Sciences (CASBS), Stanford",CASBS Fellowship,https://casbs.stanford.edu/apply-casbs-fellowship,"Aug 15, 2026","Oct 30, 2026",Funded — verify amount on website,Year-long residential fellowship giving advanced scholars time and community for behavioral-science research. Time commitment: 12.,Advanced-stage; post-defense target,AI and Tech Policy,,Stipend + Stanford housing. Year-long residential; advanced-stage researchers; has hosted AI governance scholars; post-defense target. Imported from personal research tracker; verify all details before applying.
council-on-foreign-relations-cfr-international-affairs-fellowship,Council on Foreign Relations (CFR),International Affairs Fellowship,https://www.cfr.org/fellowships/international-affairs-fellowship-iaf,Fall 2026,"Oct 15, 2026",Funded — verify amount on website,Fellowship placing mid-career professionals in policy or academic settings to bridge research and foreign affairs.,Mid-career professionals,AI and Tech Policy,,Stipendiary. Mid-career professionals; policy-academic bridge; foreign policy/tech overlap; verify stage fit. Imported from personal research tracker; verify all details before applying.
eth-zurich-visiting-researcher-program,ETH Zurich,Visiting Researcher Program,https://www.internationals.uzh.ch/en/visit/visiting-scholars.html,Verify,Verify,Funding status unclear — verify on website,Visiting research program hosting doctoral scholars working on AI and technology regulation in Europe.,Doctoral visiting; verify funding,AI and Tech Policy,,Eligibility unclear — verify on website. Stipendiary (verify). Swiss-based; AI/tech regulation focus including EU AI Act implementation; doctoral visiting. Imported from personal research tracker; verify all details before applying.
inter-university-consortium-for-political-and-social-research,Inter-university Consortium for Political and Social Research (ICPSR),Clifford C. Clogg Scholarship,https://www.icpsr.umich.edu/sites/icpsr/sumprog/scholarships,Annual (~Jan 2027),"Mar 1, 2027",Funded — verify amount on website,Scholarship funding returning ICPSR Summer Program attendees to take advanced quantitative methods training. Time commitment: 1.,Must have attended a prior ICPSR General Session,Data Analysis,,"Open to students, faculty, and researchers from all disciplines who have previously attended a General Session of the ICPSR Summer Program. Imported from personal research tracker; verify all details before applying."
vanderbilt-university-travel-and-research-grants,Vanderbilt University,Travel and Research Grants,https://gradschool.vanderbilt.edu/costandfunding/internal-funding-opportunities/,Rolling,Rolling,Funded — verify amount on website,"Internal Vanderbilt grant reimbursing graduate students up to $1,000 to present research at conferences. Time commitment: 1.",1 yr at Vanderbilt; first author/presenter; DGS approval; exhaust dept funding first,Data Analysis,,"Up to $1,000 per trip. Must have completed one full year at Vanderbilt and be first author/presenter. Limit one grant per budget year (July 1–June 30); maximum three grants during your Vanderbilt tenure. Requires DGS approval and must exhaust departmental funding first. Imported from personal research tracker; verify all details before applying."
vanderbilt-university-gli-professional-development-training-grants,Vanderbilt University,GLI Professional Development & Training Grants,https://gradschool.vanderbilt.edu/student-resources/professional-development/gli/gli-funding-opportunities/,"Oct 5, 2026","Oct 26, 2026",Funded — verify amount on website,Vanderbilt Graduate Leadership Institute grants funding professional development and training activities. Time commitment: 1.,Vanderbilt graduate students; GLI program,Data Analysis,,Vanderbilt GLI Professional Development & Training Grants. See https://gradschool.vanderbilt.edu/student-resources/professional-development/gli/gli-funding-opportunities/. Imported from personal research tracker; verify all details before applying.
ewing-marion-kauffman-foundation-kauffman-research-grant,Ewing Marion Kauffman Foundation,Kauffman Research Grant,https://www.kauffman.org/funding/grants/research/,Summer 2026,LOI: Summer 2026,Funded — verify amount on website,Research grants supporting scholarship that sustains and expands entrepreneurship and business ownership. Time commitment: Verify.,Entrepreneurship research focus,Public Policy and Government,,"Research Section grant. Strategic priority ENTREPRENEURSHIP: supporting and sustaining business ownership. Application window June 1, 2026. https://www.kauffman.org/funding/grants/research/. Imported from personal research tracker; verify all details before applying."
ewing-marion-kauffman-foundation-kauffman-project-grant,Ewing Marion Kauffman Foundation,Kauffman Project Grant,https://www.kauffman.org/funding/grants/project/,Fall 2026,LOI: Fall 2026,Funded — verify amount on website,Project grants funding applied initiatives that advance entrepreneurship and economic opportunity. Time commitment: Verify.,Project-based; entrepreneurship focus,Public Policy and Government,,Project Section grant. Application window Fall 2026. https://www.kauffman.org/funding/grants/project/. Imported from personal research tracker; verify all details before applying.
echoing-green-echoing-green-fellowship,Echoing Green,Echoing Green Fellowship,https://echoinggreen.org/fellowship/,Mid-Sep 2026,Early Oct 2026,Funded — verify amount on website,Fellowship supporting emerging social entrepreneurs and leaders driving public-interest change. Time commitment: 18.,Original founder; early-stage org (<5 yrs); any nationality; no degree req; $100K over 18 mo,Nonprofit Governance,"Open to undergraduate students, as well as graduate students/professionals, per source.","Capacity-building + ~1,000-member network; fits founder track (Tarrant County Mediation Center, HRI). 2026 deadline Oct 8, 2 PM ET; notifications Jun/Jul. Source: echoinggreen.org. Imported from personal research tracker; verify all details before applying."
aaas-via-vanderbilt-sponsorship-case-workshop,AAAS (via Vanderbilt sponsorship),CASE Workshop,https://www.aaas.org/programs/catalyzing-advocacy-in-science-and-engineering,Annual (~Jan 2027),~Feb 2027,Funded — verify amount on website,Workshop introducing scientists and engineers to careers in science and technology policy. Time commitment: 1.,Full-time doctoral student; nominated by home university; STEM/SBE; 3.5-day DC workshop,Public Policy and Government,,"Congress, budget/appropriations, science advocacy + Hill visits; apply via Vanderbilt internal selection (Grad School); 2026 workshop Apr 12-15, internal apps ~mid-Feb. Source: aaas.org CASE. Too introductory. Focused on traditional sciences. Imported from personal research tracker; verify all details before applying."
harvard-ai-safety-student-team-aisst-governance-policy,Harvard AI Safety Student Team (AISST),"Governance, Policy & Strategy (GPS) Fellowship",https://aisst.ai/policy-fellowship,Fall 2026,Fall 2026,Unfunded / non-monetary,"Student-run Harvard fellowship developing AI governance, policy, and strategy skills through guided projects.",Harvard-affiliated; virtual option,AI and Tech Policy,"Open to undergraduate students, as well as graduate students/professionals, per source.",Virtual option; ~50% historical acceptance rate. Imported from personal research tracker; verify all details before applying.
harvard-ai-safety-student-team-aisst-introductory-technical,Harvard AI Safety Student Team (AISST),Introductory Technical Fellowship,https://aisst.ai/tech-fellowship,Fall 2026,Fall 2026,Unfunded / non-monetary,Student-run Harvard fellowship introducing participants to technical AI safety research fundamentals.,Assumes ML familiarity,AI and Tech Policy,"Open to undergraduate students, as well as graduate students/professionals, per source.",Technical AI safety focus; assumes ML familiarity. Imported from personal research tracker; verify all details before applying.
base-research-base-fellows-fall-2026,BASE Research,BASE Fellows Fall 2026,https://www.baseresearch.org/base-fellowship,"Mar 1, 2026","Jan 9, 2026",Funded — verify amount on website,Diversity-focused fellowship supporting Black researchers entering AI safety and ethics work.,Black researchers; governance track,AI and Tech Policy,"Open to undergraduate students, as well as graduate students/professionals, per source.",Diversity-focused (Black researchers); governance track fits profile. Imported from personal research tracker; verify all details before applying.
effective-thesis-effective-thesis-fellowship-specialist-track,Effective Thesis,Effective Thesis Fellowship (Specialist Track),https://www.effectivethesis.org/key-services/effective-thesis-fellowship,Annual,"Jun 3, 2026",Funded — verify amount on website,Virtual fellowship guiding researchers to pursue high-impact thesis projects in priority areas. Time commitment: 3.,Virtual; ~10 hrs/week; SRC-compatible,AI and Tech Policy,"Open to undergraduate students, as well as graduate students/professionals, per source.",Virtual; ~10 hrs/week for 3 months; SRC-compatible. Imported from personal research tracker; verify all details before applying.
new-jersey-innovation-authority-njia-data-policy-graduate,New Jersey Innovation Authority (NJIA),Data & Policy Graduate Fellow - AI Policy & Public Projects,https://jobs.lever.co/NJStateOfficeofInnovation/,Rolling,Rolling,Funded — verify amount on website,Full-time salaried fellowship advancing AI policy and public-interest projects in NJ state government.,Full-time salaried; not SRC-compatible,AI and Tech Policy,"Open to undergraduate students, as well as graduate students/professionals, per source.",Full-time salaried role; not SRC-compatible. Imported from personal research tracker; verify all details before applying.
hudson-institute-political-studies-summer-fellowship,Hudson Institute Political Studies,Summer Fellowship,https://hudsonpoliticalstudies.org/fellowship,Fall 2026,"Jan 9, 2026",Funding status unclear — verify on website,"Summer program in political theory and public policy with seminars, workshops, and a speaker series.","Undergraduates and recent graduates; summer program in Washington, DC",Public Policy and Government,"Open to undergraduate students, as well as graduate students/professionals, per source.",Hudson Institute Political Studies Summer Fellowship; political theory + American political principles; mentorship program. Source: hudsonpoliticalstudies.org/fellowship. Imported from personal research tracker; verify all details before applying.
us-general-services-administration-gsa-us-digital-corps,U.S. General Services Administration (GSA),U.S. Digital Corps Fellowship,https://digitalcorps.gsa.gov/opportunity/,Fall,Rolling,Funded — verify amount on website,"Two-year federal fellowship placing early-career technologists on AI, cybersecurity, and data projects. Time commitment: 24.",Requires U.S. work authorization (not employer-sponsored); cohort starts ~August,AI and Tech Policy,"Open to undergraduate students, as well as graduate students/professionals, per source.",Requires U.S. work authorization; not employer-sponsored. Cohort typically starts August. Imported from personal research tracker; verify all details before applying.
us-general-services-administration-gsa-presidential-innovation-fellows,U.S. General Services Administration (GSA),Presidential Innovation Fellows (PIF),https://presidentialinnovationfellows.gov/apply/,Annual,"Sep 30, 2026",Funded — verify amount on website,Fellowship embedding mid-to-senior technology experts in federal agencies to drive AI and digital strategy. Time commitment: 12.,U.S. citizens/nationals only; GS-15 salary; DC-based; PIF program reported terminated in 2025 — verify status before applying,AI and Tech Policy,,Open to U.S. citizens and nationals only; mid-to-senior career level. Imported from personal research tracker; verify all details before applying.
